NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
BOA VISTA,RR,4177,496.73526454393107,531.2233899928178,520.7152980608091,530.6903998084749,632.4539142925545,2.0552546962260956
BOA VISTA DO RAMOS,AM,163,446.1871165644172,461.2785276073619,450.0251533742332,445.5950920245399,540.3680981595093,0.9877675840978594
BOCA DA MATA,AL,500,479.52540000000005,503.99379999999996,493.63140000000004,518.6932,636.68,1.3378186968838528
BOCA DO ACRE,AM,220,464.21409090909094,492.98227272727274,492.64181818181817,499.5309090909091,620.2727272727273,1.45
BOCAIÚVA,MG,765,494.7471895424836,531.2432679738562,517.6011764705883,542.002614379085,671.6339869281046,1.8065934065934066
BODOQUENA,MS,62,484.39677419354837,517.8774193548387,510.5548387096774,514.9709677419355,604.1935483870968,1.7075471698113207
BOITUVA,SP,465,517.0610752688171,558.9883870967742,554.9537634408603,590.361505376344,675.6559139784946,2.7144212523719164
BOM CONSELHO,PE,740,481.39,510.9060810810811,502.50364864864866,521.5224324324324,642.4864864864865,1.2357984994640943
BOM DESPACHO,MG,470,519.6978723404255,556.5095744680851,541.9300000000001,588.5523404255318,706.0851063829788,2.713
BOM JARDIM,MA,952,484.8887605042017,507.7096638655462,492.4726890756302,522.1719537815126,658.0672268907563,1.1342943854324734
BOM JESUS,PI,1490,462.4102684563759,483.02255033557043,470.14939597315436,484.88510067114095,591.3691275167786,1.2580405739732805
BOM JESUS DA LAPA,BA,958,474.91503131524007,507.0868475991649,498.2217118997913,513.3156576200417,627.0772442588726,1.415469146238377
BOM JESUS DE GOIÁS,GO,216,476.63611111111106,517.0407407407407,506.32268518518515,515.849074074074,621.4814814814815,2.2171875
BOM JESUS DO ITABAPOANA,RJ,663,494.7193061840121,528.3102564102564,520.0274509803921,536.4282051282051,665.7315233785822,1.9195205479452055
BOM SUCESSO,MG,344,488.60872093023255,523.9700581395349,508.7677325581395,539.569476744186,649.4767441860465,1.9367977528089888
BONFIM,RR,29,450.32758620689657,485.7896551724138,453.4793103448276,457.2413793103448,551.7241379310345,1.476923076923077
BONITO,PE,507,479.103550295858,504.5721893491124,502.9674556213018,521.7189349112426,651.5187376725838,1.2562972292191437
BOQUEIRÃO,PB,508,478.97165354330707,514.7291338582677,503.959842519685,513.7066929133858,635.7086614173228,1.2276853252647504
BOQUIM,SE,692,473.30202312138726,502.3034682080925,486.53627167630054,499.1010115606937,682.6011560693642,1.161649214659686
BOQUIRA,BA,223,471.28609865470855,501.5565022421525,485.42242152466366,498.13721973094175,667.8026905829596,1.1388235294117648
BORBA,AM,149,446.3040268456376,472.0402684563758,462.1476510067114,460.80469798657714,544.2953020134228,1.2075471698113207
BOTUCATU,SP,1611,523.2536933581626,560.482122905028,552.4235257603973,588.6595903165736,677.47982619491,2.743455497382199
BRAGANÇA,PA,2333,467.122503214745,496.16373767681097,477.25023574796404,486.97175310758684,614.1963137591084,1.303104077906269
BRAGANÇA PAULISTA,SP,1454,516.8438789546079,552.9312242090784,547.2215268225584,588.2499312242091,696.3273727647868,2.7364996746909562
BRASILÂNDIA DE MINAS,MG,225,477.90933333333334,509.1137777777778,494.516,513.6911111111111,624.3555555555556,1.9352941176470588
BRASILÉIA,AC,218,474.1357798165138,509.8077981651376,502.0389908256881,511.48623853211006,602.0183486238532,1.6946778711484594
BRASNORTE,MT,55,479.5381818181818,505.5527272727273,504.85818181818183,519.5109090909091,645.8181818181819,2.6554054054054053
BRASÍLIA,DF,41899,509.7063605336643,548.5998329315735,542.9083033007947,556.5707367717607,661.1556361727011,2.2771856561123576
BRASÍLIA DE MINAS,MG,563,485.15932504440497,529.429484902309,517.6158081705152,543.3657193605684,646.3587921847247,1.61
BRAÇO DO NORTE,SC,448,499.6430803571429,534.7897321428571,523.7421875,547.7359375,639.1964285714286,3.0102459016393444
BREJETUBA,ES,99,498.14040404040406,545.239393939394,517.3757575757576,547.2454545454545,663.6363636363636,1.793548387096774
BREJINHO DE NAZARÉ,TO,31,475.2903225806452,474.4032258064516,444.4483870967742,491.1645161290323,606.4516129032259,1.375
BREJO,MA,432,459.9625,479.8768518518518,462.47222222222223,475.27222222222224,600.8333333333334,0.8703703703703703
BREJO DA MADRE DE DEUS,PE,339,475.3132743362832,508.29085545722717,502.1867256637168,523.6864306784661,642.8318584070796,1.3440721649484537
BREJO SANTO,CE,1339,489.40993278566094,518.5546676624347,502.1669902912621,534.6888722927558,662.6288274831965,1.246002132196162
BREJÕES,BA,168,463.9202380952381,490.1928571428571,478.48214285714283,472.88452380952384,595.952380952381,1.075098814229249
BREU BRANCO,PA,305,460.1593442622951,486.7049180327869,472.65639344262297,471.256393442623,571.2131147540983,1.2568897637795275
BREVES,PA,2240,458.29325892857145,486.3020089285714,469.4669196428571,468.05379464285716,582.5089285714286,1.1669540229885058
BROTAS DE MACAÚBAS,BA,190,466.6063157894737,506.35526315789474,497.74894736842106,505.0336842105263,639.0526315789474,1.2537688442211055
BRUMADINHO,MG,533,502.886679174484,541.3812382739212,532.1594746716698,564.4377110694184,670.5816135084427,2.444704049844237
BRUMADO,BA,1233,493.4377128953771,535.0762368207623,520.5282238442823,542.9995944849959,662.0600162206001,1.5606680299931834
BRUSQUE,SC,1014,507.9570019723866,546.3208086785011,537.6437869822486,567.9597633136094,656.1932938856016,2.9737039819684448
BUERAREMA,BA,197,483.6827411167513,515.0543147208122,505.1695431472081,493.80609137055836,616.6497461928934,1.2693726937269372
BUJARU,PA,482,449.548755186722,481.2846473029046,468.47697095435683,469.89315352697093,576.1410788381743,1.0241935483870968
BURITI BRAVO,MA,352,453.60397727272726,478.15596590909087,461.21903409090913,477.25113636363636,608.4659090909091,0.9644495412844036
BURITI DOS LOPES,PI,613,460.8006525285481,485.83964110929855,470.3404567699837,473.75024469820556,580.5546492659054,0.9292682926829269
BURITICUPU,MA,559,466.99713774597495,483.85348837209295,474.3429338103757,481.8096601073345,591.6636851520573,1.422055427251732
BURITIS,MG,488,473.0225409836066,509.38893442622947,496.81311475409836,513.8682377049181,600.3688524590164,1.8194006309148265
BUTIÁ,RS,192,481.5578125,525.3510416666667,521.5119791666667,524.9708333333333,610.7291666666666,2.160472972972973
CAAPIRANGA,AM,68,446.7970588235294,464.5191176470588,453.61470588235295,451.0926470588235,543.8235294117648,1.1280487804878048
CAAPORÃ,PB,299,463.4849498327759,479.0230769230769,475.2197324414716,481.92374581939805,586.6889632107024,1.2540650406504066
CAARAPÓ,MS,246,468.7280487804878,502.0894308943089,484.6666666666667,501.07886178861787,596.829268292683,1.8962765957446808
CABEDELO,PB,1005,496.4371144278607,525.0281592039802,517.5239800995024,532.6365174129353,641.1144278606965,1.8320987654320988
CABO DE SANTO AGOSTINHO,PE,2023,482.5301038062284,519.1072170044488,514.4595155709343,523.0161146811666,620.7217004448838,1.5731955269400204
CABO FRIO,RJ,2233,505.2666815942678,549.4309449171518,541.7434393193014,561.1635020152262,680.949395432154,2.239198606271777
CABREÚVA,SP,283,495.70106007067136,543.3250883392226,538.9272084805654,559.5865724381625,643.9575971731449,2.675342465753425
CABROBÓ,PE,813,462.29729397293977,484.8790897908979,473.6553505535055,490.30528905289054,583.8376383763838,1.037182852143482
CACHOEIRA,BA,675,469.9435555555556,497.6868148148148,488.6857777777778,492.31362962962965,609.4222222222222,1.2418367346938775
CACHOEIRA DO SUL,RS,999,497.6213213213213,540.9393393393393,532.0272272272272,550.1428428428428,663.8838838838839,2.2744205298013247
CACHOEIRA PAULISTA,SP,275,504.1290909090909,546.477090909091,538.8898181818182,561.6323636363636,643.4181818181818,2.202247191011236
CACHOEIRAS DE MACACU,RJ,446,493.18542600896865,532.6215246636772,525.9269058295964,538.7105381165919,676.1434977578475,1.9707446808510638
CACHOEIRINHA,RS,1202,496.2126455906822,541.0518302828619,539.9930116472545,544.8553244592346,639.2512479201331,2.4620135886349597
CACHOEIRO DE ITAPEMIRIM,ES,2401,502.06472303206994,535.9889629321116,525.9975426905456,555.9004164931279,686.9554352353186,2.2045072317524386
CACIMBA DE DENTRO,PB,237,476.0257383966245,512.4426160337553,502.9075949367089,508.0936708860759,648.3544303797469,1.046551724137931
CACOAL,RO,1290,491.51162790697674,527.0438759689922,513.8784496124031,538.7039534883721,652.8682170542636,2.236283185840708
CACULÉ,BA,1110,483.00648648648644,511.293963963964,502.0925225225225,527.2263963963965,672.3603603603603,1.3375216637781628
CAETITÉ,BA,1532,479.57630548302876,514.841906005222,498.77643603133157,527.1566579634465,673.3289817232376,1.4045731707317073
CAETÉ,MG,454,497.4332599118943,546.0019823788546,536.7180616740088,568.7400881057268,705.9471365638766,2.4171539961013644
CAETÉS,PE,453,477.0130242825607,504.5269315673289,497.29470198675494,522.4187637969095,609.0066225165563,1.102803738317757
CAFELÂNDIA,PR,173,490.742774566474,520.921387283237,504.1329479768786,524.535838150289,624.0462427745665,2.920704845814978
CAICÓ,RN,2196,500.7635245901639,535.0765938069217,523.1802367941713,541.0256830601093,682.6138433515483,1.741635687732342
CAIEIRAS,SP,1001,497.28911088911093,544.3880119880121,541.9731268731268,550.5565434565434,636.4435564435564,2.513389441469013
CAJAMAR,SP,672,490.61116071428575,535.004613095238,531.1177083333333,543.2217261904761,637.5297619047619,2.4468085106382977
CAJATI,SP,151,483.0417218543047,533.2920529801324,530.0635761589405,549.7635761589404,623.4437086092715,2.3427230046948355
CAJAZEIRAS,PB,1961,490.69632840387555,521.6113717491077,511.94548699643036,529.902804691484,665.2728199898012,1.4645918747670519
CAJURU,SP,267,483.70786516853934,523.9865168539326,515.9584269662921,534.7048689138577,656.1797752808989,2.364951768488746
CALDAS NOVAS,GO,1394,483.4376614060258,518.9735294117647,507.3378048780488,526.2873744619799,621.8507890961263,2.1028328611898015
CAMACAN,BA,670,468.7994029850746,492.17582089552235,485.26940298507463,493.4737313432836,589.5820895522388,1.4138115631691648
CAMAMU,BA,465,463.25655913978494,493.5664516129032,482.50494623655914,478.73870967741937,584.7741935483871,1.374251497005988
CAMAPUÃ,MS,91,478.9021978021978,504.9527472527472,495.50989010989014,496.9340659340659,606.3736263736264,2.053719008264463
CAMAQUÃ,RS,1189,486.71084945332206,524.5684608915055,518.4684608915055,529.9269974768713,616.5349032800673,2.0767472240365774
CAMARAGIBE,PE,2640,488.1885606060606,522.21125,517.5707196969697,528.149053030303,632.6363636363636,1.5692094313453537
CAMAÇARI,BA,2724,481.90591042584435,522.1673641703377,518.761637298091,516.0936123348017,617.3641703377386,1.5902474526928676
CAMBORIÚ,SC,442,494.41696832579186,535.0963800904977,533.1223981900453,536.3746606334842,626.1085972850678,2.794407894736842
CAMBUÍ,MG,444,501.90112612612614,545.2495495495496,534.6421171171171,556.2644144144144,647.7927927927927,2.277486910994764
CAMBÉ,PR,756,499.60502645502646,544.4050264550265,533.1108465608465,548.5019841269841,625.952380952381,2.6565762004175366
CAMETÁ,PA,3675,467.3313197278912,497.58574149659864,473.50982312925174,490.73942857142856,636.3102040816326,1.0637669750049203
CAMOCIM,CE,1004,480.04651394422314,512.9027888446216,505.3578685258964,521.9994023904383,607.410358565737,1.3333333333333333
CAMOCIM DE SÃO FÉLIX,PE,325,494.34861538461536,518.5006153846155,514.0458461538461,539.6203076923077,653.8461538461538,0.9396728016359919
CAMPINA GRANDE,PB,10429,498.7529293316713,537.5700930098764,527.7125227730368,544.6771886086874,679.3038642247578,1.7198279264346041
CAMPINA GRANDE DO SUL,PR,354,491.4124293785311,531.6610169491526,523.3454802259887,531.1347457627119,604.5762711864406,2.5077777777777777
CAMPINAS,SP,9857,522.2680633052653,560.5168915491529,553.1692908592878,587.5684183828752,675.1181901186974,2.7727229100681448
CAMPO ALEGRE,AL,513,474.48869395711506,499.57251461988307,489.72300194931773,512.2259259259259,634.0350877192982,1.289873417721519
CAMPO ALEGRE DE LOURDES,BA,171,462.94385964912277,490.0157894736842,473.86783625730993,496.6426900584795,603.1578947368421,1.2202643171806167
CAMPO BELO,MG,721,508.62371705963943,552.0969486823856,535.3975034674063,576.2750346740638,708.2662968099861,2.145121951219512
CAMPO BOM,RS,385,502.1384415584415,543.9522077922078,543.2755844155844,571.3524675324676,637.8181818181819,2.749529190207156
CAMPO DO BRITO,SE,624,480.1865384615385,512.7530448717949,496.57676282051284,511.0858974358974,681.8269230769231,1.135928961748634
CAMPO FORMOSO,BA,939,479.41246006389775,509.0153354632588,491.751863684771,502.70607028753994,627.8168264110756,1.4383928571428573
CAMPO GRANDE,MS,11426,505.5417206371434,538.2950726413443,529.8418256607737,554.8387537195869,663.9908979520392,2.2594513680985866
CAMPO LARGO,PR,1110,510.30063063063056,545.9127027027026,538.5392792792793,561.0803603603604,641.981981981982,2.7566037735849056
CAMPO LIMPO PAULISTA,SP,582,500.2860824742268,543.8269759450171,543.5116838487972,565.2733676975945,643.6426116838488,2.6341623036649215
CAMPO MAGRO,PR,152,500.6565789473684,532.158552631579,520.483552631579,535.2177631578948,600.3947368421053,2.2784552845528454
CAMPO MAIOR,PI,1567,468.0245054243778,502.62763241863433,486.2902999361838,505.56675175494576,630.4530950861518,1.1787783043707214
CAMPO MOURÃO,PR,1606,495.64551681195513,525.0764009962639,519.6884806973848,538.975591531756,628.0697384806974,2.5327533265097237
CAMPO NOVO DO PARECIS,MT,305,482.32721311475404,518.56,508.59311475409834,529.412131147541,622.4262295081967,2.666176470588235
CAMPO VERDE,MT,542,494.29501845018456,520.229520295203,505.31107011070105,530.0623616236162,629.1512915129151,2.3898050974512746
CAMPOS ALTOS,MG,130,489.09153846153845,532.7153846153847,517.8607692307692,555.6538461538462,670.1538461538462,2.2683823529411766
CAMPOS BELOS,GO,668,463.18697604790424,485.8669161676646,475.31077844311375,482.9738023952096,587.3952095808384,1.34228515625
CAMPOS DO JORDÃO,SP,429,502.37668997669,543.3794871794871,541.9477855477855,556.8829836829836,639.020979020979,2.381370826010545
CAMPOS DOS GOYTACAZES,RJ,4785,499.65809822361547,536.6310762800418,527.8374921630094,546.406144200627,655.0846394984326,1.9395983443200981
CAMPOS GERAIS,MG,476,499.90546218487395,530.6899159663866,515.4876050420169,552.578781512605,666.4285714285714,1.78698752228164
CAMPOS NOVOS,SC,306,501.93823529411765,537.0679738562092,525.1392156862745,549.1944444444445,646.8627450980392,2.671388101983003
CAMPOS SALES,CE,699,473.5386266094421,506.01173104434906,492.1540772532189,515.2944206008583,652.2460658082975,0.9697950377562028
CANARANA,BA,578,470.8690311418685,502.32647058823534,493.4553633217993,504.96730103806226,614.1176470588235,1.5177353342428377
CANAVIEIRAS,BA,265,482.3320754716981,525.2052830188679,520.2683018867925,515.4532075471699,635.4716981132076,1.469945355191257
CANAÃ DOS CARAJÁS,PA,617,486.5408427876824,511.9679092382496,501.5622366288493,517.6173419773096,646.936790923825,2.0722819593787336
CANDEIAS,BA,971,477.18815653964987,512.9841400617919,506.4109165808445,504.8299691040165,616.4366632337797,1.5220643231114435
CANELA,RS,551,504.5480943738657,551.8852994555353,551.0168784029038,563.3803992740471,671.4337568058077,2.958715596330275
CANGUARETAMA,RN,761,476.8985545335085,502.46084099868597,493.30394218134035,498.88804204993426,610.0919842312746,1.3835041938490213
CANGUÇU,RS,566,490.83692579505305,532.6296819787987,521.1975265017668,544.3671378091873,640.8833922261484,2.0258964143426295
CANINDÉ,CE,1494,478.96780455153953,510.67262382864794,503.88574297188757,528.295046854083,644.0562248995984,1.107716049382716
CANINDÉ DE SÃO FRANCISCO,SE,668,478.388622754491,504.6778443113772,497.5398203592814,503.70164670658687,638.9820359281437,1.4099770642201834
CANOAS,RS,3131,503.64072181411694,549.3021079527307,545.7215586074736,565.5972532737145,654.5576493133184,2.5048555474629763
CANOINHAS,SC,700,498.2157142857143,526.0994285714286,515.8587142857142,540.397,627.0285714285715,2.6161879895561357
CANSANÇÃO,BA,254,465.90118110236216,499.5129921259843,491.13228346456697,482.0035433070866,597.4803149606299,1.1720867208672088
CANTO DO BURITI,PI,528,459.5382575757576,486.00890151515154,472.2820075757576,484.224053030303,591.8560606060606,1.1261127596439169
CANUTAMA,AM,42,448.8714285714285,494.68095238095236,481.7261904761905,475.75952380952384,536.1904761904761,1.1291666666666667
CAPANEMA,PA,2280,471.85842105263157,502.73381578947374,487.56701754385966,493.0891666666667,619.1842105263158,1.4432909823365354
CAPELA,SE,467,460.610278372591,491.27387580299785,471.7364025695931,482.6653104925054,632.6338329764454,1.122191011235955
CAPELINHA,MG,597,491.2715242881072,537.1445561139028,522.2477386934673,553.9117252931323,655.3768844221106,1.646075581395349
CAPIM GROSSO,BA,769,475.33654096228867,506.4141742522757,500.2680104031209,508.11144343302993,635.9167750325098,1.243048403707518
CAPITÃO POÇO,PA,1095,465.9167123287671,490.82913242009136,473.5655707762557,484.28182648401827,611.269406392694,1.098623853211009
CAPIVARI,SP,456,506.05855263157895,544.4405701754386,538.9309210526316,564.378947368421,637.1929824561404,2.8238636363636362
CAPÃO BONITO,SP,515,485.8601941747573,530.6823300970874,525.3939805825244,539.5401941747573,611.7281553398059,2.0129151291512914
CAPÃO DA CANOA,RS,615,490.04048780487807,534.8399999999999,532.0039024390244,542.1188617886179,639.4471544715448,2.5005417118093174
